Layer,Row,Column
1,158,20
1,158,21
1,158,22
1,158,23
1,158,24
1,158,25
1,158,26
1,158,27
1,158,28
1,158,29
1,158,30
1,158,31
1,158,32
1,158,33
1,158,34
1,158,35
1,158,36
1,158,37
1,158,38
1,158,39
1,159,11
1,159,12
1,159,13
1,159,14
1,159,15
1,159,16
1,159,17
1,159,18
1,159,19
1,159,20
1,159,39
1,159,40
1,159,41
1,159,42
1,159,43
1,159,44
1,159,45
1,159,46
1,159,47
1,159,48
1,159,49
1,159,50
1,160,7
1,160,8
1,160,9
1,160,10
1,160,11
1,160,50
1,160,51
1,160,52
1,160,53
1,160,54
1,161,2
1,161,3
1,161,4
1,161,5
1,161,6
1,161,7
1,161,54
1,161,55
1,162,2
1,162,55
1,162,56
1,162,57
1,163,57
1,163,58
1,163,59
1,164,59
1,164,60
1,164,61
1,165,61
1,165,62
1,166,62
1,166,63
1,166,64
1,167,64
1,167,65
1,167,66
1,168,66
1,168,67
1,168,68
1,169,68
1,169,69
1,170,69
1,170,70
1,171,70
1,171,71
1,172,71
1,172,72
1,173,72
1,174,72
1,174,73
1,175,73
1,175,74
1,176,74
1,176,75
1,177,75
1,177,76
1,178,76
1,178,77
1,178,78
1,179,78
1,179,79
1,180,79
1,180,80
1,181,80
1,181,81
1,181,82
1,181,101
1,182,82
1,182,83
1,182,84
1,182,85
1,182,98
1,182,99
1,182,100
1,182,101
1,183,85
1,183,86
1,183,87
1,183,88
1,183,94
1,183,95
1,183,96
1,183,97
1,183,98
1,184,88
1,184,89
1,184,90
1,184,91
1,184,92
1,184,93
1,184,94
