Observation_Point,Avg_Mean_Head,Avg_Std_Head,Max_Uncertainty,Min_Uncertainty,Valid_Time_Periods
MSB_5,469.0198372203837,0.655117709916314,0.687685774807008,0.6213449325804798,139
U6_333,471.27005280959236,0.4916551183283595,0.5146844555464215,0.4570902284254185,139
GWM_3,471.3883391896882,0.34608284550473606,0.37327882275109103,0.32323007114386265,139
GAR_05,474.7370347661871,0.3306869125982499,0.34750726058841713,0.3156347171888182,139
U6_305,475.6074851973621,0.333997105999696,0.35860991249297863,0.315515492977366,139
U8_1045,476.7883244258993,0.2996207657610384,0.32257695071263487,0.2816949497702533,139
MPG_53,477.0577148105515,0.4110244488349096,0.4527343743958037,0.3623136403061423,139
Poststrasse,477.92422525251794,0.17022938557159834,0.19086256422094866,0.15062240458625512,139
U6_310,478.20060538920865,0.23194536029909535,0.25694489028180545,0.21456544726464938,139
MPG_40,479.01303754724216,0.4146133311102914,0.44186580014537225,0.3810115662544122,139
MPG_26,478.52728173741,0.5707932209520152,0.585974752525985,0.536116545335843,139
MPG_42,479.24813436187054,0.48473950115889913,0.4993854060273759,0.45218691790970517,139
OBS_13,480.83435197889685,0.14821937874858557,0.16342033177081594,0.12879404609322018,139
